Time (mins),Temperature,Tem.,TEM/1000,YFP,Mean11,Mean20,Mean23,,BLUE,Mean11,Mean20,Mean23,,RED,Mean11,Mean20,Mean23,,Timepoint,Cl-,,,,YFP/RED,Mean11,Mean20,Mean23
5.8,,2890.625,2.890625,,662.9529419,2372.427856,1141.162598,,,2282.299072,7468.153076,3335.375977,,,426.5076294,1508.459656,694.1119995,,,,,,,,1.554375341,1.57274863,1.644061187
5.9,,2890.625,2.890625,,670.8811035,2382.254089,1149.962341,,,2295.296417,7500.519806,3360.855011,,,432.2263489,1516.446991,701.3878479,,,,,,,,1.552152258,1.570944519,1.639552702
6,,2890.625,2.890625,,675.773941,2392.88887,1161.69136,,,2310.379333,7457.041443,3370.098083,,,435.9496002,1524.428665,706.9859772,,,,,,,,1.550119419,1.569695536,1.643160399
6.1,,2890.625,2.890625,,674.006958,2370.4776,1161.850525,,,2325.192505,7508.75354,3404.762085,,,438.3525848,1523.640671,710.8726654,,,,,,,,1.537590929,1.555798323,1.634400338
6.2,,2890.625,2.890625,,678.2049561,2379.249084,1173.643982,,,2332.349609,7499.381104,3429.362793,,,438.2040558,1520.021378,712.8626251,,,,,,,,1.547692102,1.565273436,1.646381702
6.3,,2890.625,2.890625,,707.858078,2386.022202,1186.244003,,,2436.376373,7506.485504,3462.100739,,,461.8821259,1524.856796,721.6201019,,,,,,,,1.532551355,1.564751659,1.643862193
6.4,,2884.114583,2.884114583,,720.8669281,2369.213608,1186.19957,,,2487.650208,7520.982727,3504.585022,,,471.1607971,1529.194916,728.1333313,,,,,,,,1.529980704,1.549320877,1.629096649
6.5,,2864.583333,2.864583333,,731.0357666,2366.852051,1199.619873,,,2554.436066,7554.139923,3502.955597,,,486.2507172,1525.348007,728.4149628,,,,,,,,1.503413241,1.551680036,1.646890762
6.6,,2851.5625,2.8515625,,746.2603607,2369.047287,1194.235519,,,2559.840027,7534.140076,3523.523376,,,488.7006531,1525.138458,735.2008362,,,,,,,,1.527029596,1.5533326,1.624366378
6.7,,2858.072917,2.858072917,,744.9624786,2354.075394,1192.817581,,,2580.679993,7547.147278,3570.300598,,,487.9009857,1529.699142,740.9842987,,,,,,,,1.526872256,1.538913979,1.609774436
6.8,,2858.072917,2.858072917,,743.7729492,2343.978088,1195.399597,,,2592.764618,7544.060028,3583.518036,,,494.1629334,1529.850555,744.1163635,,,,,,,,1.505116833,1.532161478,1.606468633
6.9,,2864.583333,2.864583333,,753.5849609,2363.20929,1216.10553,,,2593.702789,7547.662506,3588.777252,,,495.2387848,1528.33815,746.7563019,,,,,,,,1.521659822,1.546260747,1.628517264
7,,2851.5625,2.8515625,,743.8601379,2345.984161,1214.107697,,,2622.232483,7548.398254,3575.27301,,,495.7488861,1530.606369,748.3071136,,,,,,,,1.500477679,1.532715536,1.622472477
7.1,,2851.5625,2.8515625,,738.9754486,2331.571701,1216.477097,,,2619.881439,7572.736176,3608.067719,,,495.9464111,1532.263794,753.564209,,,,,,,,1.490030842,1.521651631,1.614297869
7.2,,2851.5625,2.8515625,,748.2462616,2337.25322,1212.273605,,,2611.110504,7574.188873,3623.973541,,,501.344162,1530.438278,747.4015961,,,,,,,,1.492480253,1.527179013,1.621984234
7.3,,2851.5625,2.8515625,,747.4192505,2338.068054,1221.332458,,,2615.599335,7577.998993,3664.517792,,,498.1015778,1538.597183,760.8144684,,,,,,,,1.500535802,1.519610253,1.605296047
7.4,,2851.5625,2.8515625,,746.5145569,2351.391571,1232.242645,,,2623.827637,7622.55957,3705.202881,,,500.3634796,1545.772293,765.937027,,,,,,,,1.491944531,1.521175908,1.608804121
7.5,,2851.5625,2.8515625,,749.0900116,2343.777145,1241.878464,,,2619.386963,7626.867432,3726.877197,,,502.2188263,1548.012466,772.219986,,,,,,,,1.491560994,1.51405573,1.608192596
7.6,,2851.5625,2.8515625,,746.9361725,2336.754288,1242.87941,,,2646.032471,7617.772949,3697.595947,,,500.35672,1545.716278,775.8299255,,,,,,,,1.492807317,1.511761454,1.601999831
7.7,,2851.5625,2.8515625,,748.6766663,2328.136444,1224.329193,,,2651.437836,7648.989349,3724.97641,,,501.5472412,1544.154358,778.5309448,,,,,,,,1.492734093,1.507709661,1.572614681
7.8,,2851.5625,2.8515625,,753.2899628,2339.896164,1244.230026,,,2657.357239,7655.88385,3752.717102,,,507.6636353,1556.526428,775.1353149,,,,,,,,1.483836758,1.503280716,1.605177834
7.9,,2851.5625,2.8515625,,750.2075958,2335.761063,1247.003372,,,2659.108978,7647.171478,3767.492279,,,509.5807495,1561.353821,782.7667236,,,,,,,,1.472205527,1.495984466,1.593071517
8,,2851.5625,2.8515625,,746.0701752,2322.992599,1246.016769,,,2673.306396,7684.855957,3814.259766,,,508.212616,1560.954437,782.3153381,,,,,,,,1.468027656,1.488187319,1.592729567
8.1,,2851.5625,2.8515625,,749.5253448,2329.317032,1258.527969,,,2662.896881,7675.702789,3840.368805,,,509.2929535,1561.102036,791.1139984,,,,,,,,1.47169785,1.492097876,1.59083011
8.2,,2825.520833,2.825520833,,753.0630035,2331.53804,1246.330521,,,2692.478363,7698.84848,3812.084808,,,511.399826,1572.303268,804.6962128,,,,,,,,1.472552326,1.482880617,1.548821159
8.3,,2812.5,2.8125,,754.3839874,2323.050064,1251.421158,,,2706.893066,7738.746094,3843.27832,,,519.3197632,1578.305847,799.604248,,,,,,,,1.452638703,1.471863054,1.565050662
8.4,,2812.5,2.8125,,752.1771088,2316.796188,1248.719284,,,2719.710327,7739.902466,3857.648071,,,517.7498169,1571.97583,800.9016724,,,,,,,,1.452781023,1.473811584,1.559141811
8.5,,2812.5,2.8125,,759.7092438,2332.23201,1259.1689,,,2724.450378,7751.98114,3882.680847,,,526.2008667,1585.718323,810.3967896,,,,,,,,1.443762814,1.470773199,1.553768371
8.6,,2812.5,2.8125,,755.4816132,2320.239182,1257.266647,,,2771.734924,7871.453918,3943.8797,,,526.93367,1588.409073,809.8006744,,,,,,,,1.433731902,1.460731509,1.552563102
8.7,,2812.5,2.8125,,766.3031616,2343.698364,1277.736328,,,2760.648773,7848.572601,3937.711273,,,529.1892395,1586.685272,816.9228821,,,,,,,,1.448070188,1.477103497,1.564084391
8.8,,2812.5,2.8125,,768.0206757,2342.994003,1261.732651,,,2794.091522,7878.918915,3909.785614,,,533.4220734,1605.231461,828.185379,,,,,,,,1.439799202,1.459598856,1.523490613
8.9,,2812.5,2.8125,,765.1881866,2325.270645,1257.787857,,,2813.563721,7898.997559,3945.022949,,,541.1016693,1608.522629,819.4255219,,,,,,,,1.414130153,1.44559399,1.534963
9,,2812.5,2.8125,,768.9889069,2330.264725,1257.897171,,,2832.569611,7950.90213,3961.18924,,,544.179245,1626.555161,825.6215057,,,,,,,,1.413116935,1.432637995,1.523576072
9.1,,2792.96875,2.79296875,,768.1365051,2328.329742,1261.450836,,,2846.384277,7961.819092,3968.159912,,,550.0545044,1626.237427,827.0100708,,,,,,,,1.396473439,1.431728052,1.525314964
9.2,,2773.4375,2.7734375,,763.1219177,2320.723297,1250.768097,,,2866.252045,8017.419525,3980.814545,,,552.0706177,1627.491272,827.7501221,,,,,,,,1.382290405,1.425951301,1.5110455
9.3,,2773.4375,2.7734375,,767.3388824,2316.60878,1256.650528,,,2887.336639,8056.767059,3999.939423,,,560.7412415,1651.826813,839.7298889,,,,,,,,1.368436679,1.402452583,1.496493747
9.4,,2773.4375,2.7734375,,774.0761261,2337.169449,1255.133804,,,2892.666992,8060.58667,3989.759033,,,559.2191772,1648.649536,832.6472168,,,,,,,,1.384208835,1.417626607,1.507401669
9.5,,2773.4375,2.7734375,,772.1031036,2320.454849,1261.569717,,,2906.377899,8099.594452,4048.135956,,,563.4638367,1651.182037,841.6106262,,,,,,,,1.370279783,1.405329513,1.498994521
9.6,,2773.4375,2.7734375,,782.8685761,2344.757309,1272.773544,,,2919.359375,8079.786133,4029.957031,,,563.148941,1644.531754,840.6329498,,,,,,,,1.390162564,1.425790231,1.514065734
9.7,,2773.4375,2.7734375,,782.5274658,2343.032776,1280.963196,,,2941.058746,8138.851959,4054.261627,,,568.7577667,1654.118301,841.7453156,,,,,,,,1.375853679,1.416484404,1.521794267
9.8,,2773.4375,2.7734375,,787.6608734,2340.227646,1254.157211,,,2944.237518,8130.531952,4063.649139,,,566.0141907,1646.589386,841.82724,,,,,,,,1.391592095,1.42125758,1.489803551
9.9,,2773.4375,2.7734375,,790.443222,2343.192795,1263.718918,,,2979.90271,8181.870239,4016.497681,,,571.4381561,1661.564804,843.0416107,,,,,,,,1.383252437,1.410232565,1.498999458
10,,2773.4375,2.7734375,,793.9852905,2344.464355,1262.830933,,,2980.656708,8175.92868,4016.856415,,,575.7659302,1662.891174,837.5822754,,,,,,,,1.379007074,1.409872391,1.507709714
10.1,,2773.4375,2.7734375,,799.0876617,2360.56105,1278.755875,,,3012.090302,8246.752167,4060.601288,,,576.8706512,1662.391037,840.0466156,,,,,,,,1.385211156,1.419979414,1.522243946
10.2,,2773.4375,2.7734375,,807.7225952,2378.943726,1285.210205,,,2990.724609,8173.793701,4006.753174,,,573.8010864,1662.942139,847.3497314,,,,,,,,1.407670035,1.430563139,1.516741149
10.3,,2792.96875,2.79296875,,804.1600494,2368.73024,1292.076797,,,2993.800079,8199.927277,4068.740265,,,576.9070435,1659.357361,838.5899048,,,,,,,,1.393916158,1.427498558,1.540773136
10.4,,2812.5,2.8125,,803.4349213,2370.596115,1290.840378,,,2996.338715,8184.797455,4087.43222,,,577.4896698,1666.484726,846.3794403,,,,,,,,1.391254187,1.422512957,1.525132011
10.5,,2812.5,2.8125,,811.5523682,2388.36908,1297.560486,,,3003.003693,8220.516388,4088.238068,,,578.8023834,1658.982559,837.0194244,,,,,,,,1.402123404,1.439658944,1.5502155
10.6,,2805.989583,2.805989583,,806.0840454,2375.595093,1292.18396,,,3002.313293,8217.692444,4098.629456,,,579.3728943,1668.323883,841.224884,,,,,,,,1.39130438,1.423941188,1.536074342
10.7,,2812.5,2.8125,,816.3944092,2402.920044,1284.907227,,,3011.981598,8239.768951,4038.069244,,,578.430603,1657.309265,838.1209106,,,,,,,,1.411395602,1.449892361,1.533080979
10.8,,2812.5,2.8125,,821.6941528,2408.765625,1290.825195,,,3017.658325,8258.057007,4043.019897,,,580.5838776,1665.013382,838.9701691,,,,,,,,1.415289305,1.446694454,1.538582947
10.9,,2812.5,2.8125,,813.5588837,2394.878891,1284.023788,,,3025.763031,8255.320648,4036.613617,,,579.2663269,1658.714996,840.6870422,,,,,,,,1.404464313,1.443815783,1.527350517
11,,2812.5,2.8125,,813.5270386,2395.48175,1295.513611,,,3026.508911,8260.647583,4084.992798,,,583.6854401,1663.668533,834.4816437,,,,,,,,1.393776481,1.43987922,1.552477062
11.1,,2812.5,2.8125,,819.4282837,2402.613892,1296.416504,,,3021.723206,8258.791809,4072.727844,,,581.8089905,1667.00943,833.3383484,,,,,,,,1.408414612,1.441271926,1.555690442
11.2,,2812.5,2.8125,,814.1615295,2393.012177,1290.643036,,,3025.522369,8275.242096,4069.899811,,,578.8554382,1668.922943,833.066925,,,,,,,,1.406502342,1.433866187,1.549266928
11.3,,2812.5,2.8125,,815.8612976,2409.789154,1296.695282,,,3015.967072,8298.087433,4061.027374,,,580.3936005,1674.40239,838.3290253,,,,,,,,1.405703469,1.439193571,1.546761764
11.4,,2812.5,2.8125,,817.5157776,2413.193756,1299.104889,,,3017.942383,8320.836182,4081.121338,,,581.5628357,1666.207733,831.3879089,,,,,,,,1.405722181,1.448315062,1.56257371
11.5,,2812.5,2.8125,,818.4141998,2412.462296,1301.130142,,,3033.671051,8336.702057,4102.163971,,,578.3642731,1667.662491,835.1776276,,,,,,,,1.415049715,1.446613034,1.557908281
11.6,,2812.5,2.8125,,823.248764,2428.324753,1309.906296,,,3034.36377,8324.696045,4094.46167,,,579.4910889,1667.410156,832.0789185,,,,,,,,1.420640938,1.456345185,1.574257281
11.7,,2812.5,2.8125,,819.6632233,2416.585648,1302.732986,,,3020.618164,8300.522949,4083.087402,,,578.7007904,1669.699081,832.3245087,,,,,,,,1.41638518,1.447318067,1.565174368
11.8,,2812.5,2.8125,,823.3715515,2423.719147,1291.735992,,,3018.625671,8299.791443,4105.698669,,,574.9593353,1655.452621,831.6829681,,,,,,,,1.432051801,1.46408246,1.553159127
11.9,,2812.5,2.8125,,823.6069489,2435.633072,1300.981216,,,3011.247253,8293.642761,4038.420105,,,579.658905,1667.164093,837.8595886,,,,,,,,1.420847574,1.460943816,1.552743722
12,,2819.010417,2.819010417,,819.1967926,2420.230057,1313.023758,,,3011.703522,8308.398102,4103.650543,,,578.5969696,1667.042465,838.0000458,,,,,,,,1.415833189,1.451810681,1.566854041
12.1,,2819.010417,2.819010417,,821.3912201,2429.08342,1316.805222,,,3001.800995,8288.213348,4102.540009,,,578.6278381,1658.916473,831.6375427,,,,,,,,1.419550125,1.464259026,1.58338838
12.2,,2851.5625,2.8515625,,823.1856232,2427.113724,1314.453568,,,3016.056702,8326.14386,4111.883118,,,576.3792877,1661.271439,832.1893463,,,,,,,,1.428201257,1.460997684,1.579512611
12.3,,2838.541667,2.838541667,,820.585968,2426.276947,1294.745331,,,3013.904694,8328.010162,4048.965729,,,578.4342957,1664.673065,833.1819153,,,,,,,,1.418632979,1.457509584,1.553976757
12.4,,2851.5625,2.8515625,,821.6400757,2435.734192,1303.899963,,,3013.692902,8330.089142,4049.801056,,,578.0849152,1672.256302,837.2419586,,,,,,,,1.421313814,1.456555547,1.55737532
12.5,,2851.5625,2.8515625,,824.1144714,2445.493683,1304.38504,,,3009.74942,8356.910797,4064.899567,,,578.3386841,1676.971863,835.2666626,,,,,,,,1.424968611,1.458279496,1.561639053
12.6,,2851.5625,2.8515625,,824.9246521,2446.149445,1302.883698,,,3016.817719,8355.892426,4064.030121,,,577.7830811,1671.84729,836.2891846,,,,,,,,1.427741101,1.463141675,1.55793441
12.7,,2845.052083,2.845052083,,826.6972351,2441.744965,1305.706146,,,3020.245361,8361.410889,4063.253174,,,581.3634644,1678.175415,838.6948242,,,,,,,,1.421997229,1.454999843,1.556831053
12.8,,2851.5625,2.8515625,,824.9497223,2439.644791,1302.998917,,,3038.762909,8388.387177,4073.054169,,,582.3052216,1680.271591,840.3583221,,,,,,,,1.416696419,1.451934796,1.550527772
12.9,,2851.5625,2.8515625,,834.0271759,2451.511429,1314.515335,,,3064.216522,8423.363983,4098.76828,,,583.6482391,1673.81041,842.5879974,,,,,,,,1.428989449,1.464629097,1.560092642
13,,2851.5625,2.8515625,,838.3485107,2462.946533,1322.141968,,,3034.990967,8329.136475,4074.87085,,,582.9818268,1669.791702,839.6059723,,,,,,,,1.438035411,1.475002259,1.574717202
13.1,,2851.5625,2.8515625,,843.0421906,2455.503372,1322.914871,,,3047.315125,8347.837341,4077.682556,,,578.5267639,1661.461334,831.8754578,,,,,,,,1.457222454,1.477917856,1.590279962
13.2,,2851.5625,2.8515625,,834.9564667,2447.887436,1314.83934,,,3052.384613,8341.451752,4082.579193,,,580.3825684,1661.100708,833.9163208,,,,,,,,1.438631193,1.473653839,1.57670417
13.3,,2851.5625,2.8515625,,839.6269684,2453.117996,1322.724442,,,3047.122314,8359.191895,4084.38916,,,581.3367615,1660.661041,836.9041443,,,,,,,,1.444303929,1.477193681,1.580496943
13.4,,2851.5625,2.8515625,,837.2613831,2455.025238,1325.509735,,,3040.203064,8353.365173,4101.30365,,,580.7942047,1660.264481,833.8168488,,,,,,,,1.441580126,1.478695272,1.589689315
13.5,,2851.5625,2.8515625,,836.4716187,2450.970215,1324.945923,,,3050.191742,8357.81308,4102.882416,,,584.5411835,1670.204208,839.7810516,,,,,,,,1.430988341,1.467467393,1.577727814
13.6,,2851.5625,2.8515625,,838.4007111,2459.33699,1327.801834,,,3047.084442,8353.794159,4114.089569,,,578.9966888,1651.893661,836.3358612,,,,,,,,1.448023326,1.488798612,1.587641874
13.7,,2851.5625,2.8515625,,838.5486908,2453.006271,1324.71196,,,3050.725525,8375.652039,4118.306824,,,581.3137054,1660.489365,834.701889,,,,,,,,1.442506314,1.477279122,1.587047996
